student_id,cgpa,ug_branch,projects_count,internships_count,skills,area_of_interest,career_goal,chosen_masters_program,program_id,field,duration_years,example_universities,region,category
STU001,8.16,EEE,3,2,Cloud Computing|SQL|Web Development,Business & Strategy,Business Analyst,MBA Business Analytics,P06,Analytics / Management,2.0,ISB; IIM Bangalore; SPJIMR,India,Management
STU126,7.93,IT,4,2,Java|Machine Learning|Python|UI/UX Design|Web Development,Product & UX Design,Product Manager,M.Des Human-Computer Interaction,P08,HCI / Design,2.0,IIIT Delhi; IIT Guwahati; IDC IIT Bombay,India,Design
STU127,7.93,Statistics,2,2,Data Visualization|DevOps|Machine Learning|Python|SQL,Data Science & Analytics,Data Scientist,M.Sc Data Science,P03,Data Science,2.0,IIT Madras; CMI; University of Hyderabad,India,Technical
STU128,7.07,Mechanical,3,2,Python|SQL|UI/UX Design|Web Development,Business & Strategy,Business Analyst,MBA Business Analytics,P06,Analytics / Management,2.0,ISB; IIM Bangalore; SPJIMR,India,Management
STU129,6.95,ECE,4,1,C++|Cloud Computing|Cybersecurity|Python|UI/UX Design,Cybersecurity,Cloud Architect,MS Cybersecurity,P10,Cybersecurity,1.5,Northeastern; NYU Tandon; Purdue,Abroad,Technical
STU130,8.71,IT,4,3,C++|Cloud Computing|DevOps|Java|Machine Learning|Web Development,Artificial Intelligence,Software Engineer,MS Computer Science,P04,Computer Science,2.0,Stanford; Carnegie Mellon; Georgia Tech,Abroad,Technical
STU131,7.78,IT,5,3,C++|Cloud Computing|Web Development,Artificial Intelligence,Software Engineer,M.Tech Computer Science & Engineering,P01,Computer Science,2.0,IIT Bombay; NIT Trichy; IIIT Hyderabad,India,Technical
STU132,8.79,IT,5,2,C++|DevOps|Web Development,Artificial Intelligence,Research Scientist,MS Computer Science,P04,Computer Science,2.0,Stanford; Carnegie Mellon; Georgia Tech,Abroad,Technical
STU133,8.11,ECE,7,2,C++|Cloud Computing|Cybersecurity|Python,Cloud & DevOps,Cloud Architect,MS Cybersecurity,P10,Cybersecurity,1.5,Northeastern; NYU Tandon; Purdue,Abroad,Technical
STU134,8.14,IT,6,3,Cloud Computing|Deep Learning|Java,Artificial Intelligence,Research Scientist,M.Tech Computer Science & Engineering,P01,Computer Science,2.0,IIT Bombay; NIT Trichy; IIIT Hyderabad,India,Technical
STU135,7.77,IT,5,1,C++|Cloud Computing|Cybersecurity|SQL,Cloud & DevOps,Cloud Architect,MS Cybersecurity,P10,Cybersecurity,1.5,Northeastern; NYU Tandon; Purdue,Abroad,Technical
STU136,8.35,Statistics,4,3,C++|Data Visualization|Deep Learning|Machine Learning,Artificial Intelligence,ML Engineer,MS Data Science,P05,Data Science,1.5,Columbia; NYU; University of Michigan,Abroad,Technical
STU137,8.62,CSE,5,3,Data Visualization|Deep Learning|Machine Learning|Python|Web Development,Data Science & Analytics,Data Scientist,M.Tech Artificial Intelligence,P02,Artificial Intelligence,2.0,IIIT Hyderabad; IIT Madras; IISc Bangalore,India,Technical
STU138,8.23,CSE,3,2,Cloud Computing|Deep Learning|Java|Python|UI/UX Design|Web Development,Product & UX Design,UX Designer,M.Des Human-Computer Interaction,P08,HCI / Design,2.0,IIIT Delhi; IIT Guwahati; IDC IIT Bombay,India,Design
STU139,8.12,IT,4,2,Cloud Computing|Deep Learning|DevOps|Java,Cloud & DevOps,Software Engineer,M.Tech Software Engineering,P09,Software Engineering,2.0,BITS Pilani; VIT; IIIT Bangalore,India,Technical
STU140,7.4,ECE,3,2,C++|Cloud Computing|Cybersecurity|Java|Machine Learning|Python,Cybersecurity,Security Analyst,M.Tech Cybersecurity,P07,Cybersecurity,2.0,NIT Surathkal; IIIT Delhi; Amrita,India,Technical
